from,to,from_stop_lat,from_stop_lon,to_stop_lat,to_stop_lon,beeline,duration,walk_distance
4222102,4222101,51.9681509992,7.6518900137,51.968165,7.651309,39.8786314535715,0.62,50
4222102,4221102,51.9681509992,7.6518900137,51.9679901509,7.6547444424,196.585268935156,2.67,220
4222102,4221101,51.9681509992,7.6518900137,51.9678774628,7.65476,199.176714606553,2.85,230
4222102,4223101,51.9681509992,7.6518900137,51.9680146698,7.6483287229,244.718510406307,3.33,260
4222102,4238602,51.9681509992,7.6518900137,51.9666330643,7.654505957,246.459703378779,4.49,340
4222102,4220002,51.9681509992,7.6518900137,51.9693983301,7.6561417952,322.970992137333,5.34,440
4222102,4239102,51.9681509992,7.6518900137,51.9649912915,7.6509993686,357.002042873235,5.01,420
4222102,4239101,51.9681509992,7.6518900137,51.9649289807,7.6511637492,362.115820802573,5.31,450
4222102,4223102,51.9681509992,7.6518900137,51.9679871854,7.6466127181,362.397127822976,4.72,380
4222102,4238107,51.9681509992,7.6518900137,51.9673107898,7.6576129681,403.496195059878,6.47,490
4222102,4220001,51.9681509992,7.6518900137,51.9704152047,7.6566581999,412.875797607658,6.78,570
4222102,4224101,51.9681509992,7.6518900137,51.9667688159,7.6460723927,427.640053164018,6.15,530
4222102,4224102,51.9681509992,7.6518900137,51.9672197188,7.6455306782,448.303808003484,6.42,510
4223101,4223102,51.9680146698,7.6483287229,51.9679871854,7.6466127181,117.730411129626,1.28,130
4223101,4222101,51.9680146698,7.6483287229,51.968165,7.651309,205.083135605008,2.99,240
4223101,4224101,51.9680146698,7.6483287229,51.9667688159,7.6460723927,207.802850144953,2.71,290
4223101,4224102,51.9680146698,7.6483287229,51.9672197188,7.6455306782,211.324108109738,2.97,260
4223101,4222102,51.9680146698,7.6483287229,51.9681509992,7.6518900137,244.718510406307,3.33,260
4223101,4298101,51.9680146698,7.6483287229,51.967463,7.643594,330.484585182886,5.1,410
4223101,4298102,51.9680146698,7.6483287229,51.967574,7.64331,347.684209112793,4.47,370
4223101,4239102,51.9680146698,7.6483287229,51.9649912915,7.6509993686,383.176846693415,7.54,620
4223101,4239101,51.9680146698,7.6483287229,51.9649289807,7.6511637492,394.713864007693,7.84,650
4223101,4221102,51.9680146698,7.6483287229,51.9679901509,7.6547444424,440.024814041491,5.75,460
4223101,4221101,51.9680146698,7.6483287229,51.9678774628,7.65476,441.348278181304,5.93,460
4223101,4238602,51.9680146698,7.6483287229,51.9666330643,7.654505957,450.718969872929,7.57,580
4223102,4224102,51.9679871854,7.6466127181,51.9672197188,7.6455306782,113.164914027168,1.0,170
4223102,4223101,51.9679871854,7.6466127181,51.9680146698,7.6483287229,117.730411129626,1.28,130
4223102,4224101,51.9679871854,7.6466127181,51.9667688159,7.6460723927,140.599935910873,0.63,190
4223102,4298101,51.9679871854,7.6466127181,51.967463,7.643594,215.103287881646,2.94,300
4223102,4298102,51.9679871854,7.6466127181,51.967574,7.64331,231.137775251191,2.31,260
4223102,4115104,51.9679871854,7.6466127181,51.9706703439,7.6414685461,462.256237638491,5.94,550
4223102,4115103,51.9679871854,7.6466127181,51.9708843988,7.6415032675,476.243692106005,5.18,520
4224001,4224002,52.0109270723,7.7071933391,52.0104698304,7.7073134819,51.5613208309696,0.96,70
4224001,4227502,52.0109270723,7.7071933391,52.004957903,7.7094096623,681.618930694356,9.62,720
4224001,4247501,52.0109270723,7.7071933391,52.0105651275,7.727803,1412.72119686016,33.22,2650
4224001,4247502,52.0109270723,7.7071933391,52.0106129145,7.7278254941,1414.11952621003,33.22,2650
4224002,4224001,52.0104698304,7.7073134819,52.0109270723,7.7071933391,51.5613208309696,0.96,70
4224002,4227501,52.0104698304,7.7073134819,52.0053048545,7.7093803843,592.149512524646,8.62,670
4224002,4227502,52.0104698304,7.7073134819,52.004957903,7.7094096623,630.173106446671,8.66,650
4224002,4225102,52.0104698304,7.7073134819,52.0028396232,7.7098004701,866.318597296934,11.44,900
4224002,4225101,52.0104698304,7.7073134819,52.0026392294,7.709983237,890.689198387783,10.94,920
4224002,4247001,52.0104698304,7.7073134819,52.0021886152,7.7215438914,1341.91457788572,22.8,1710
4224002,4247501,52.0104698304,7.7073134819,52.0105651275,7.727803,1403.96174083713,32.26,2580
4224002,4247502,52.0104698304,7.7073134819,52.0106129145,7.7278254941,1405.55243755279,32.26,2580
4224101,4224102,51.9667688159,7.6460723927,51.9672197188,7.6455306782,62.4489671128085,0.5,160
4224101,4223102,51.9667688159,7.6460723927,51.9679871854,7.6466127181,140.599935910873,0.63,190
4224101,4298101,51.9667688159,7.6460723927,51.967463,7.643594,186.722765272414,2.98,320
4224101,4298102,51.9667688159,7.6460723927,51.967574,7.64331,209.592479764634,2.36,270
4224101,4240103,51.9667688159,7.6460723927,51.9645162868,7.6468268039,256.033459324853,2.31,270
4224101,4240104,51.9667688159,7.6460723927,51.9644107994,7.6467155962,266.174550471041,2.36,280
4224101,4109101,51.9667688159,7.6460723927,51.9665436573,7.638897525,492.734533361409,6.92,590
4224101,4115104,51.9667688159,7.6460723927,51.9706703439,7.6414685461,536.959758446485,6.1,610
4224102,4224101,51.9672197188,7.6455306782,51.9667688159,7.6460723927,62.4489671128085,0.5,160
4224102,4223102,51.9672197188,7.6455306782,51.9679871854,7.6466127181,113.164914027168,1.0,170
4224102,4298101,51.9672197188,7.6455306782,51.967463,7.643594,135.560025972005,0.45,150
4224102,4298102,51.9672197188,7.6455306782,51.967574,7.64331,157.328586441529,1.7,180
4224102,4109101,51.9672197188,7.6455306782,51.9665436573,7.638897525,461.123078890947,6.27,500
4225101,4225102,52.0026392294,7.709983237,52.0028396232,7.7098004701,25.5834974170349,1.8,200
4225101,4227502,52.0026392294,7.709983237,52.004957903,7.7094096623,261.089308386552,2.28,270
